tier,formula,k,n,h,eps,solver,lambda_min,lambda_max,kappa,min_converged,max_converged,asym_rel,mass_lambda_min,svds_smin,svds_smax,svds_kappa,svds_checked,l2_err,h1_err,energy_err,cg_iters,solve_converged,assemble_time,solve_time,seed,n_dof_active,n_dof_total,quantity,slope_p,slope_R2
T1,F1,1,16.0,0.0625,0.001,S3_cg_amg,0.039932169758148235,12087.583372396224,302702.8945736095,True,True,3.6526182397772425e-18,,,,,False,,,,13.0,True,0.13248079200002394,0.004432208000253013,12345,43.0,289.0,,,
T1,F1,1,32.0,0.03125,0.001,S1_lu,0.0765301765013825,38135.2894398735,498303.95254850347,True,True,9.281113127876456e-19,,,,,False,0.011144079112416617,0.22052973991942468,0.22166903620279285,0.0,True,0.3101027080001586,0.0006067089998396114,12345,55.0,1089.0,,,
T1,F1,1,32.0,0.03125,0.001,S2_cg_jacobi,0.0765301765013825,38135.2894398735,498303.95254850347,True,True,9.281113127876456e-19,,,,,False,,,,58.0,True,0.3101027080001586,0.001783832999990409,12345,55.0,1089.0,,,
T1,F1,1,32.0,0.03125,0.001,S3_cg_amg,0.0765301765013825,38135.2894398735,498303.95254850347,True,True,9.281113127876456e-19,,,,,False,,,,13.0,True,0.3101027080001586,0.004757292000249436,12345,55.0,1089.0,,,
T1,F1,1,64.0,0.015625,0.001,S1_lu,0.13010714447592547,120688.16074477907,927605.9453223243,True,True,1.3962703401981278e-18,,,,,False,0.00334212522875077,0.12162043593426747,0.1231174767286644,0.0,True,1.1841636670001208,0.0002853749997484556,12345,71.0,4225.0,,,
T1,F1,1,64.0,0.015625,0.001,S2_cg_jacobi,0.13010714447592547,120688.16074477907,927605.9453223243,True,True,1.3962703401981278e-18,,,,,False,,,,76.0,True,1.1841636670001208,0.002544417000081012,12345,71.0,4225.0,,,
T1,F1,1,64.0,0.015625,0.001,S3_cg_amg,0.13010714447592547,120688.16074477907,927605.9453223243,True,True,1.3962703401981278e-18,,,,,False,,,,16.0,True,1.1841636670001208,0.010223792000033427,12345,71.0,4225.0,,,
T1-slope,F1,1,,,0.001,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,l2,0.6427992397678697,0.6073541893123436
T1-slope,F1,1,,,0.001,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,h1,0.2764487219173833,0.4908483112938068
T1-slope,F1,1,,,0.001,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,energy,0.43126054915166917,0.8518339234164669
T1,F1,1,8.0,0.125,0.0001,S1_lu,0.0020431297303358984,8255.395713618347,4040563.6465684087,True,True,2.9740043216746515e-18,,,,,False,0.01229090246915083,0.21243570956636718,0.30356796496604316,0.0,True,0.08883545799972126,0.00033662499981801375,12345,29.0,81.0,,,
T1,F1,1,8.0,0.125,0.0001,S2_cg_jacobi,0.0020431297303358984,8255.395713618347,4040563.6465684087,True,True,2.9740043216746515e-18,,,,,False,,,,32.0,True,0.08883545799972126,0.0017287499999838474,12345,29.0,81.0,,,
T1,F1,1,8.0,0.125,0.0001,S3_cg_amg,0.0020431297303358984,8255.395713618347,4040563.6465684087,True,True,2.9740043216746515e-18,,,,,False,,,,15.0,True,0.08883545799972126,0.006049666999842884,12345,29.0,81.0,,,
T1,F1,1,16.0,0.0625,0.0001,S1_lu,0.0038731900038580366,25969.171734933796,6704853.546835096,True,True,3.3428421754699538e-18,,,,,False,0.018468199089806205,0.2797355843103643,0.2940751717374961,0.0,True,0.16554295800006003,0.0005648749997817504,12345,43.0,289.0,,,
T1,F1,1,16.0,0.0625,0.0001,S2_cg_jacobi,0.0038731900038580366,25969.171734933796,6704853.546835096,True,True,3.3428421754699538e-18,,,,,False,,,,47.0,True,0.16554295800006003,0.0026180830000157584,12345,43.0,289.0,,,
T1,F1,1,16.0,0.0625,0.0001,S3_cg_amg,0.0038731900038580366,25969.171734933796,6704853.546835096,True,True,3.3428421754699538e-18,,,,,False,,,,13.0,True,0.16554295800006003,0.006570957999883831,12345,43.0,289.0,,,
T1,F1,1,32.0,0.03125,0.0001,S1_lu,0.0075255740953025065,82147.56944584067,10915787.73998352,True,True,9.7297034779604e-19,,,,,False,0.011119650653932807,0.220329039274338,0.2215412858341807,0.0,True,0.3768338749996474,0.00038408299997172435,12345,55.0,1089.0,,,
T1,F1,1,32.0,0.03125,0.0001,S2_cg_jacobi,0.0075255740953025065,82147.56944584067,10915787.73998352,True,True,9.7297034779604e-19,,,,,False,,,,61.0,True,0.3768338749996474,0.0029073749997223786,12345,55.0,1089.0,,,
T1,F1,1,32.0,0.03125,0.0001,S3_cg_amg,0.0075255740953025065,82147.56944584067,10915787.73998352,True,True,9.7297034779604e-19,,,,,False,,,,14.0,True,0.3768338749996474,0.008035874999677617,12345,55.0,1089.0,,,
T1,F1,1,64.0,0.015625,0.0001,S1_lu,0.01480630083142479,260258.39075159092,17577543.08214651,True,True,6.719284037334234e-19,,,,,False,0.003337161500263786,0.12152046111689487,0.12302413906435575,0.0,True,1.4258923749998758,0.00033687500035739504,12345,71.0,4225.0,,,
T1,F1,1,64.0,0.015625,0.0001,S2_cg_jacobi,0.01480630083142479,260258.39075159092,17577543.08214651,True,True,6.719284037334234e-19,,,,,False,,,,77.0,True,1.4258923749998758,0.002866207999886683,12345,71.0,4225.0,,,
T1,F1,1,64.0,0.015625,0.0001,S3_cg_amg,0.01480630083142479,260258.39075159092,17577543.08214651,True,True,6.719284037334234e-19,,,,,False,,,,17.0,True,1.4258923749998758,0.010190292000061163,12345,71.0,4225.0,,,
T1-slope,F1,1,,,0.0001,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,l2,0.6374624042776565,0.5999072224039304
T1-slope,F1,1,,,0.0001,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,h1,0.2761885276914068,0.4901977100271232
T1-slope,F1,1,,,0.0001,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,energy,0.43178438039674855,0.8523968035544384
T1,F1,1,8.0,0.125,1e-05,S1_lu,0.00019751715013040553,17636.856879927607,89292787.32648449,True,True,1.5393786572671881e-18,,,,,False,0.012176148585038168,0.21217487998420906,0.3020030732697386,0.0,True,0.11136258299984547,0.000314875000185566,12345,29.0,81.0,,,
T1,F1,1,8.0,0.125,1e-05,S2_cg_jacobi,0.00019751715013040553,17636.856879927607,89292787.32648449,True,True,1.5393786572671881e-18,,,,,False,,,,32.0,True,0.11136258299984547,0.0010876669998651778,12345,29.0,81.0,,,
T1,F1,1,8.0,0.125,1e-05,S3_cg_amg,0.00019751715013040553,17636.856879927607,89292787.32648449,True,True,1.5393786572671881e-18,,,,,False,,,,15.0,True,0.11136258299984547,0.004550457999812352,12345,29.0,81.0,,,
T1,F1,1,16.0,0.0625,1e-05,S1_lu,0.00037983386443581047,55744.18647353581,146759390.5991924,True,True,1.5392812039356749e-18,,,,,False,0.018457218217357074,0.279673730498063,0.29406223210063825,0.0,True,0.12287737499991636,0.0002100829997289111,12345,43.0,289.0,,,
T1,F1,1,16.0,0.0625,1e-05,S2_cg_jacobi,0.00037983386443581047,55744.18647353581,146759390.5991924,True,True,1.5392812039356749e-18,,,,,False,,,,47.0,True,0.12287737499991636,0.0015534580002167786,12345,43.0,289.0,,,
T1,F1,1,16.0,0.0625,1e-05,S3_cg_amg,0.00037983386443581047,55744.18647353581,146759390.5991924,True,True,1.5392812039356749e-18,,,,,False,,,,13.0,True,0.12287737499991636,0.004451459000392788,12345,43.0,289.0,,,
T1,F1,1,32.0,0.03125,1e-05,S1_lu,0.0007438252403303779,176648.97023315213,237487195.45291525,True,True,1.164910807728834e-16,,,,,False,0.011111956490655031,0.2202649526978796,0.2215140679365448,0.0,True,0.3048669169997993,0.0003333750000820146,12345,55.0,1089.0,,,
T1,F1,1,32.0,0.03125,1e-05,S2_cg_jacobi,0.0007438252403303779,176648.97023315213,237487195.45291525,True,True,1.164910807728834e-16,,,,,False,,,,60.0,True,0.3048669169997993,0.001799125000161439,12345,55.0,1089.0,,,
T1,F1,1,32.0,0.03125,1e-05,S3_cg_amg,0.0007438252403303779,176648.97023315213,237487195.45291525,True,True,1.164910807728834e-16,,,,,False,,,,12.0,True,0.3048669169997993,0.0052252089999456075,12345,55.0,1089.0,,,
T1,F1,1,64.0,0.015625,1e-05,S1_lu,0.0014704026327916743,560205.8288664776,380988048.01708156,True,True,2.7303911724933537e-19,,,,,False,0.003335500077377938,0.12148868507615014,0.12300152420904832,0.0,True,1.1579839999999422,0.00027358400029697805,12345,71.0,4225.0,,,
T1,F1,1,64.0,0.015625,1e-05,S2_cg_jacobi,0.0014704026327916743,560205.8288664776,380988048.01708156,True,True,2.7303911724933537e-19,,,,,False,,,,77.0,True,1.1579839999999422,0.0029517500001929875,12345,71.0,4225.0,,,
T1,F1,1,64.0,0.015625,1e-05,S3_cg_amg,0.0014704026327916743,560205.8288664776,380988048.01708156,True,True,2.7303911724933537e-19,,,,,False,,,,17.0,True,1.1579839999999422,0.009506041999884474,12345,71.0,4225.0,,,
T1-slope,F1,1,,,1e-05,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,l2,0.6336320945811602,0.5943828659478982
T1-slope,F1,1,,,1e-05,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,h1,0.27578005120582944,0.48887593990860034
T1-slope,F1,1,,,1e-05,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,energy,0.42963842919611117,0.8488205178622961
T1,F1,1,8.0,0.125,1e-06,S1_lu,1.9406328380497097e-05,37821.21114387061,1948911221.242656,True,True,1.359992712440313e-16,,,,,False,0.01211002140847457,0.21202433651865388,0.3007315833412464,0.0,True,0.09698341700004676,0.00030495800001517637,12345,29.0,81.0,,,
T1,F1,1,8.0,0.125,1e-06,S2_cg_jacobi,1.9406328380497097e-05,37821.21114387061,1948911221.242656,True,True,1.359992712440313e-16,,,,,False,,,,32.0,True,0.09698341700004676,0.0012486669997997524,12345,29.0,81.0,,,
T1,F1,1,8.0,0.125,1e-06,S3_cg_amg,1.9406328380497097e-05,37821.21114387061,1948911221.242656,True,True,1.359992712440313e-16,,,,,False,,,,15.0,True,0.09698341700004676,0.0070396249998339044,12345,29.0,81.0,,,
T1,F1,1,16.0,0.0625,1e-06,S1_lu,3.757993251940067e-05,119821.06028783937,3188432023.553572,True,True,3.60860156910478e-19,,,,,False,0.01845367331770904,0.27966261356801125,0.294062907284336,0.0,True,0.1687889590002669,0.00024775000019872095,12345,43.0,289.0,,,
T1,F1,1,16.0,0.0625,1e-06,S2_cg_jacobi,3.757993251940067e-05,119821.06028783937,3188432023.553572,True,True,3.60860156910478e-19,,,,,False,,,,47.0,True,0.1687889590002669,0.0017578330002834264,12345,43.0,289.0,,,
T1,F1,1,16.0,0.0625,1e-06,S3_cg_amg,3.757993251940067e-05,119821.06028783937,3188432023.553572,True,True,3.60860156910478e-19,,,,,False,,,,13.0,True,0.1687889590002669,0.006457416000102967,12345,43.0,289.0,,,
T1,F1,1,32.0,0.03125,1e-06,S1_lu,7.38875742792536e-05,380066.98492693057,5143855223.755086,True,True,2.8259618580181953e-19,,,,,False,0.011109753958440216,0.22024725419266172,0.22151046018056977,0.0,True,0.3509729170000355,0.00034091600036845193,12345,55.0,1089.0,,,
